BezirkNummer : ["BezirkName",,2010,2011,2012,2013,2014],
11 : ["Aegidii",,903,998,1001,995,959],
12 : ["Überwasser",,954,1073,1049,1054,1019],
13 : ["Dom",,1508,1642,1602,1611,1585],
14 : ["Buddenturm",,1401,1538,1546,1583,1589],
15 : ["Martini",,931,1017,1024,1025,1027],
21 : ["Pluggendorf",,2761,3079,3072,3098,3140],
22 : ["Josef",,5640,6046,6031,6227,6217],
23 : ["Bahnhof",,818,895,880,936,968],
24 : ["Hansaplatz",,4655,5015,5024,4981,5024],
25 : ["Mauritz-West",,3978,4257,4238,4252,4282],
26 : ["Schlachthof",,2856,3062,3101,3139,3145],
27 : ["Kreuz",,7678,8287,8266,8223,8235],
28 : ["Neutor",,2717,3159,3071,3004,3005],
29 : ["Schloss",,1185,1314,1295,1304,1303],
31 : ["Aaseestadt",,2990,3108,3132,3159,3121],
32 : ["Geist",,5093,5342,5328,5350,5411],
33 : ["Schützenhof",,4707,5063,5063,5148,5152],
34 : ["Düesberg",,3410,3485,3504,3543,3549],
43 : ["Hafen",,727,801,785,793,776],
44 : ["Herz-Jesu",,2759,2911,2926,2904,2956],
45 : ["Mauritz-Mitte",,5944,6181,6117,6211,6241],
46 : ["Rumphorst",,3990,4153,4212,4286,4265],
47 : ["Uppenberg",,4604,4990,5024,5079,5117],
51 : ["Gievenbeck",,8998,10170,10428,10661,10748],
52 : ["Sentrup",,3766,4339,4422,4451,4542],
54 : ["Mecklenbeck",,4407,4697,4206,4306,4570],
56 : ["Albachten",,2324,2414,2464,2504,2558],
57 : ["Roxel",,3953,4185,4254,4264,4336],
58 : ["Nienberge",,3196,3395,3391,3440,3433],
61 : ["Coerde",,4506,4673,4714,4791,4885],
62 : ["Kinderhaus-Ost",,2560,2623,2628,2649,2661],
63 : ["Kinderhaus-West",,4678,4905,4895,4913,4914],
68 : ["Sprakel",,1260,1269,1298,1332,1364],
71 : ["Mauritz-Ost",,5004,5200,5295,5343,5375],
76 : ["Gelmer-Dyckburg",,1536,1584,1625,1658,1682],
77 : ["Handorf",,3290,3421,3474,3476,3521],
Ost : "[",,9830,10205,10394,10477,10578],
81 : ["Gremmendorf-West",,2163,2215,2225,2367,2430],
82 : ["Gremmendorf-Ost",,2907,2978,3012,3080,3109],
86 : ["Angelmodde",,3528,3626,3655,3831,3857],
87 : ["Wolbeck",,3927,4025,4062,4137,4183],
91 : [""Berg Fidel"",,2491,2580,2583,2586,2614],
95 : ["Hiltrup-Ost",,2968,3016,2986,2995,3014],
96 : ["Hiltrup-Mitte",,4947,5093,5150,5164,5166],
97 : ["Hiltrup-West",,3938,4083,4174,4208,4278],
98 : ["Amelsbüren",,2322,2384,2422,2439,2426],
Hiltrup : "[",,16666,17156,17315,17392,17498],
Münster : ["""Stadt ",,150878,160291,160654,162500,163752],
